id,proverb,meaning,wrong1,wrong2,wrong3,category
2234,आँटी छोरालाई बाघले खाँदैन (छुन सक्दैन),शूरो वा हिम्मती मानिसले डराउनुपर्दैन।,आँटी छोराले बाघलाई खाउँछ,बाघले आँटी छोरालाई डराउँछ,बाघ आँटी छोराको साथी हुन्छ,Fate and Caution
2236,"आगलागी झुपडी (झोपडी), डेढ घडी भद्रा",बित्न लागेको कुरामा मौका पर्खिरहनु ठीक होइन।,झुपडीमा आगो लगाउँदा रमाइलो हुन्छ,आगलागी हुँदा झुपडीमा केही असर हुँदैन,डेढ घडी भद्रा भनेको समय मिलाएर काम गर्नु हो,Fate and Caution
2262,"आयो दसैँ ढोल बजाई, गयो दसैँ रिन बोकाई",गरिबहरूका निम्ति खुसी बोकेर आउने चाड दुःख थपेर बिदा हुन्छ।,दसैँ आउँदा ढोल बजाएर रमाइलो गरिन्छ,दसैँमा सबैले ऋण लिन्छन्,दसैँमा ढोल बजाउनै पर्छ,Fate and Caution
2263,आयो मुनाल (निदुली) तेरो काल,छिटै सिध्याइने वा मारिने बेला आइसकेको अवस्था।,मुनालले सधैं खराब भाग्य ल्याउँछ,मुनालले कसैलाई बचाउन सक्दैन,मुनालको आगमनले सबैलाई डराउँछ,Fate and Caution
2275,"उम्केको माछो तीन धार्नी, मरेकी छोरी जम्दार्नी",कति कुरालाई बितिसकेपछि मात्रै ठूलो ठान्ने गरिन्छ।,उम्केको माछो सानो हुन्छ,मरेकी छोरीले धेरै सम्पत्ति ल्याउँछे,माछा समात्न सजिलो हुन्छ,Fate and Caution
2307,कागले कान लग्यो भन्दा आफ्नो कान नछामी कागको पछि दगुर्ने,साँचो कुरा नबुझी त्यसै होहोमा दौडने।,कागले कान खायो भनेर विश्वास गर्नु,आफ्नो कान हरायो भनेर सोधखोज नगर्नु,कागले कान चोरेर भाग्यो भनेर कागलाई समात्न दौडनु,Fate and Caution
2350,खानु न पिउनु पुर्पुरोमा चिनु,लिनुखानुबिनाको अपजस ।,खानु न पिउनु भनेको स्वस्थ जीवनशैली हो,चिन्ता गर्दा मात्र जीवन सफल हुन्छ,पुर्पुरोमा चिनु भनेको टाउको दुख्नु हो,Fate and Caution
2402,जब फ्यो (भयो) राति अनि बूढी ताती,बेला घर्केपछि काममा लाग्न खोज्ने ।,बूढीले जाडो महसुस गर्न रात पर्खिनुपर्छ,बूढीले रातमा मात्रै तातो महसुस गर्छिन्,बूढी दिनभरि चिसो हुन्छिन् र राति मात्रै तातिन्छिन्,Fate and Caution
2425,जो गर्छ झेला उही पर्छ फेला,झेल गर्ने मान्छे आफैँ झमेलामा पर्छ ।,"जो झगडा गर्छ, ऊ सधैं हराउँछ","जो काम गर्छ, ऊ असफल हुन्छ","जो सहयोग गर्छ, ऊ नै समस्यामा पर्छ",Fate and Caution
2448,डुब्न लागेकालाई सिन्काको सहारा/तृणको आधार,आपत्मा परेकालाई थोरै भए पनि आड भरोसा ।,डुब्न लागेकालाई सिन्काको सहारा दिएर बचाउन सकिन्छ,सिन्काको सहारा लिएर डुब्नबाट बच्न सकिन्छ,डुब्न लागेको व्यक्तिलाई सिन्काले तान्न सक्छ,Fate and Caution
2484,"नआत्तिनू, नमात्तिनू",हडबडाउनु र उम्लिनु हुँदैन।,नआत्तिनू भनेको डराएर भाग्नू,नमात्तिनू भनेको कहिल्यै खुसी नहुनू,नआत्तिनू भनेको सधैं शान्त रहनु,Fate and Caution
2491,नदुखेको कपाल डोरी लाएर दुखाउनु,आफैँले नचाहिने झन्झट बेसाउनु ।,कपाल नदुखे पनि डोरीले दुख्न सक्छ,कपाललाई डोरीले बाँध्दा मात्र दुख्छ,कपाल दुख्न नदिन डोरी लगाउनुपर्छ,Fate and Caution
2519,"बलियाबाङ्गा बाघलाई, बूढाखाडा माघलाई","बलिया मानिसलाई तागतले मात्र ढाल्छ, तर बूढा र निर्धालाई जाडाले पनि सिध्याउँछ।",बूढाखाडा माघमा बलियो हुन्छ,बाघले माघमा आक्रमण गर्दैन,माघ महिनामा बूढा मानिसहरू बलिया हुन्छन्,Fate and Caution
2527,बाह्र वर्षपछि(मा) खोलो फर्कन्छ,धेरै दिनपछि त्यस्तो दिन आउँछ जुन दिन असम्भव लागेको कुरा पनि सम्भव भइदिन्छ।,खोलोले बाह्र वर्षपछि मात्र बग्न सुरू गर्छ,खोलो बाह्र वर्षसम्म सुक्खा रहन्छ,खोलो बाह्र वर्षपछि मात्र आफ्नो दिशा परिवर्तन गर्छ,Fate and Caution
2538,बीउ र जीउ राखे काम लाग्छ,"बीउ जोगाई राखे बेलामा बाली लगाउन पाइन्छ, त्यस्तै स्वास्थ्य तन्दुरुस्थ बनाउन सके कुनै बेला पनि काममा अघि सर्न सकिन्छ ।",बीउ र जीउ राखे मात्र काम हुँदैन,बीउ र जीउ राखेपछि तुरुन्तै फल पाइन्छ,बीउ र जीउ राख्नाले सधैं सफल भइन्छ,Fate and Caution
2584,मियाँको दौड मस्जिदतक (सम्म),सधैँ हिँड्ने वा काममा लाग्ने ठाउँसम्मको ताक।,मियाँ केवल मस्जिदसम्म दौड्न सक्छन्,मियाँको लक्ष्य सधैं मस्जिद मात्र हो,मियाँ अरू ठाउँ जानै सक्दैनन्,Fate and Caution
2636,सर्प (साँप) गइसकेपछि गोही कुटी के फाइदा !,मौका चुकेपछि चुरीफुरी देखाएर काम लाग्दैन।,गोही कुट्दा सर्प फर्केर आउँछ,सर्प र गोही मिलेर आउँछन्,गोही कुट्दा सर्पलाई असर पर्छ,Fate and Caution
2640,साठनमा आँखा फुटेको गोरु सधैँ हरियो देख्छ,थाहा नपाउनेले सबै थोक राम्रै भएको ठान्छ।,गोरुले हरियो रंग मात्र देख्न सक्छ,आँखा फुटेको गोरु हरियो रंगको पछि लाग्छ,गोरुले सधैं हरियो घाँस मात्र खान्छ,Fate and Caution
2649,सूर्यलाई हत्केलाले ढाकेर ढाकिँदैन,कुनै ठूलो कुरालाई साना कुराले छोप्न वा लुकाउन सकिँदैन।,सूर्यलाई हत्केला दिएर छोप्न सकिन्छ,हत्केलाले सूर्यलाई सधैं ढाक्न सकिन्छ,सत्यलाई सधैं लुकाउन सकिन्छ,Fate and Caution
2654,"हतारमा बिहे गर्ने, फुर्सदमा पछुताउने",हडबडाएर काम गर्नाले राम्रो कुरा भए पनि पछि थकथकाउनुपर्ने हुन्छ ।,हतारमा बिहे गर्दा धेरै पैसा बचत हुन्छ,फुर्सदमा पछुताउने भनेको रमाइलो गर्ने समय हो,हतारमा बिहे गर्दा जीवन सजिलो हुन्छ,Fate and Caution
2661,"हात्ती छिर्‍यो, पुच्छर अड्क्यो",मुख्य कामकुरो सकिएर पनि थोरैको अड्काउ।,"हात्ती सानो हुन्छ, पुच्छर ठूलो हुन्छ",हात्तीले आफ्नो पुच्छर थाम्न सक्दैन,पुच्छरले हात्तीलाई रोक्न सक्छ,Fate and Caution
2670,"हुने बिरुवाको चिल्लो पात, नहुने बिरुवाको फुस्रो (खस्त्रो) पात",सप्रने र बिग्रने लक्षण पहिले नै थाहा हुन्छ ।,हुने बिरुवाको पात सधैं चिल्लो हुन्छ,नहुने बिरुवाको पात कहिल्यै राम्रो हुँदैन,बिरुवाको गुण पातको आधारमा मात्र थाहा हुन्छ,Fate and Caution
2671,हुने बेलामा गोरु पनि बियाउँछ,सप्रने बेलामा नपत्याइने किसिमले फाइदा हुन्छ ।,गोरु मात्र हुने बेलामा बियाउँछ,गोरु बियाउनको लागि कुनै समय चाहिन्छ,गोरु बिनै बाच्छा जन्मन्छ,Fate and Caution
2678,बिहे गर्ने अलमलमा केटी खोज्नै बिर्सियो ।,धेरै कुरा मिलाउन खोज्दा मुख्य काम नै बिर्सिनु ।,बिहे गर्न लाग्दा केटीलाई मनाउन बिर्सियो,बिहे गर्ने सोच्दा केटीसँग भेट्न बिर्सियो,बिहे गर्न हतार गर्दा केटीलाई बोलाउन बिर्सियो,Fate and Caution
2679,हग्ने बेलामा चाक खोज्नु ।,कामको लागि आवश्यक उपकरणहरू जम्मा गर्न अन्तिम मिनेट सम्म पर्खनु ।,समयमै काम नगर्ने,अरूको सहयोग बिना केही गर्न नसक्ने,सधैं अरूलाई दोष दिने,Fate and Caution
2705,दौरा न सौराको खल्ती ।,"निजगढ अन्तर्राष्ट्रिय विमानस्थलको डिपीआर तयार नहुँदै, निर्माण लागत, खर्च कसले व्यहोर्ने टुंगो नभई रुख काट्न हतार भएको भन्दै उनले भने, ""दौरा न सौराको खल्ती भनेको यही हो ।""",दौरामा सौराको खल्ती हुन्छ,दौरा सौराको खल्तीमा राखिन्छ,दौरा सौराले खल्ती बनाउँछ,Fate and Caution
2725,ठेस लाग्न भिर चाहिन्न ।,"तपाइँलाई तपाइँको लक्ष्यहरू प्राप्त गर्नबाट रोक्नको लागि ठूलो विपत्तिको आवश्यकता पर्दैन । कहिलेकाहीँ, स-साना बाधाहरू तपाईंलाई असफल बनाउन पर्याप्त हुन्छन् ।",ठेस लाग्न पहाड चढ्नुपर्छ,ठेस लाग्न सधैं ठूलो कारण चाहिन्छ,ठेस लाग्न समुद्रमा जानुपर्छ,Fate and Caution
2735,न्याउरी मारी पछुतो ।,केहि मूर्ख वा गलत गरे पछि पछुताउनु व्यर्थ छ किनकि तपाईले विगतलाई बदल्न सक्नुहुन्न। कुनै पनि कदम चाल्नु भन्दा पहिले सोच्नु बुद्धिमानी हुन्छ।,न्याउरी मारेपछि खुशी हुन्छ,न्याउरी मारेपछि पुरस्कार पाइन्छ,न्याउरी मारेपछि सबै समस्या समाधान हुन्छ,Fate and Caution
2743,हलुवामा बालुवा ।,राम्रो कुरालाई बिगार्नु ।,हलुवामा बालुवा स्वादिष्ट हुन्छ,हलुवामा बालुवा मिसाउँदा मिठो हुन्छ,हलुवामा बालुवा स्वास्थ्यका लागि राम्रो हुन्छ,Fate and Caution
2752,नजाने गाउँको बाटो नसोध्नु ।,तपाईसँग सरोकार नभएका कुराहरूमा समय बर्बाद नगर्नुहोस् ।,नजाने गाउँको बाटो कहिल्यै नछोड्नु,नजाने गाउँमा जानु नै हुँदैन,नजाने गाउँको बाटोमा हिँड्न डराउनु,Fate and Caution
2771,भाग्यमा छ भन्दैमा डोकोमा दुध दुहेर अडिँदैन ।,भाग्यमा छ भन्दैमा असम्भव कुरा प्राप्त हुँदैन ।,भाग्यमा छ भने जे गरे पनि सफल हुन्छ,डोकोमा दुध दुहेर भाग्य बढाउन सकिन्छ,भाग्यले मात्र काम सफल हुन्छ,Fate and Caution
2800,दुर्गंधित भन्ने थाहा पाएपछि उधिनिरहनु पर्दैन ।,"कुनै कुरा अथवा व्यक्ति नराम्रो हो भन्ने थाहा हुँदा हुँदै, त्यसको बारेमा धेरै चर्चा गर्नु जरुरि पर्दैन ।",दुर्गंधित कुरा राम्रो हुन्छ,दुर्गंधित कुरा सधैं उधिनिरहनु पर्छ,दुर्गंधित कुरा सुधार्न सकिन्छ,Fate and Caution
4,"अल्छीको बल्छी पाखुरेको जाल, मर्दको दुवाली माछाको काल",बल दाँज्नु र छुट्याउनु ।,अल्छी मान्छेले बल्छी बनाएर माछा समात्छ,मर्द मान्छेको दुवालीले माछा मर्छ,बलियो पाखुरे मान्छेले माछा समात्न जाल फाल्छ,Hard Work and Perseverance
6,अगुल्टो पनि नठोसी बल्दैन,एकैठाउँमा बसेपछि कहिलेकाहीँ विवाद हुन्छ ।,अगुल्टो नठोसी आगो बल्छ,अगुल्टोले आगो निभाउँछ,अगुल्टो बिना आगो आफैं बल्छ,Hard Work and Perseverance
64,"अघि सर्ने सारे, पछि हट्ने धन्यको बेसारे",स्वार्थी प्रवृत्ति देखाउनु,आगो सर्ने राम्रो हुन्छ,पछि हट्नेले सधैं हार्छ,बेसारे हुनु राम्रो हो,Hard Work and Perseverance
70,"अड्डाको बाली, वर्ष दिन टाली",ढिलासुस्ती गर्नु,अड्डामा काम कहिल्यै हुँदैन,अड्डामा काम गर्दा वर्ष दिन लाग्छ,अड्डामा गएपछि बाली लगाउनुपर्छ,Hard Work and Perseverance
108,"असारमा डुल्ने, पदनीमा भुल्ने",सुनौला मौका गुमाउनु ।,असारमा डुल्दा धेरै पैसा कमाइन्छ,पदनीमा भुल्दा राम्रो हुन्छ,असारमा काम नगरी डुल्नु राम्रो हो,Hard Work and Perseverance
121,अल्छी तिघ्रो स्वादे जिब्रो,विनापरिश्रम मिठो खान खोज्नु,अल्छी मानिसले मीठो खाना बनाउन सक्छ,तिघ्रो जिब्रो भएकोले अल्छी हुन्छ,स्वादे जिब्रो भएकाले तिघ्रो दुख्छ,Hard Work and Perseverance
167,अघि फाला-फाल पछि पुग अपुग,उराल-धुराल गर्ने,"पहिले धेरै काम गर, पछि केही नगर्नु","सुरुवातमा समय खेर फाल, पछि आराम गर","पहिले धेरै पैसा खर्च गर, पछि थोरै कमाउ",Hard Work and Perseverance
219,"अरूको खुट्टाले कति दिन हिँड्ने, आफ्नो खुट्टाले हिँड्ने पो हिँड्ने",स्वाबलम्बी हुनुपर्छ ।,अरूको खुट्टा मागेर हिँड्न सकिन्छ,आफ्नो खुट्टा भए पनि हिँड्न सकिँदैन,अरूको खुट्टाले सधैं हिँड्न सकिन्छ,Hard Work and Perseverance
253,अल्छीका ओठमा आहानका झुप्पा,अल्छीले कुरा मात्र धेर गर्छ,अल्छी मान्छेले धेरै काम गर्छ,अल्छी मान्छेले सधैं सत्य बोल्छ,अल्छी मान्छेले कहिल्यै बहाना बनाउँदैन,Hard Work and Perseverance
255,"अल्छीको खेती केरा, बुद्धिमानको खाना केरा",धेरै दुःख नहुनु,केरा खाएर मान्छे अल्छी हुन्छ,बुद्धिमान मान्छेले मात्र केरा खान्छ,केरा खेती गर्न सजिलो हुन्छ,Hard Work and Perseverance
256,अल्छीको घर तारामण्डल छानो सिवाले भित्तो,अल्छीको केही पनि हुँदैन,अल्छी मान्छेको घरमा ताराहरू बस्छन्,सिवाले भित्तो बनाउँछ,अल्छीको घरमा तारामण्डलले छानो बनाउँछ,Hard Work and Perseverance
258,"अल्छी निद्रा हाइ हाइ, यिनै हुन् कालका भाइ",कुलच्छिन देख्नु ।,अल्छी हुनु राम्रो हो,निद्रा बढी लिनु स्वास्थ्यको लागि फाइदाजनक हुन्छ,हाइ गर्दा ऊर्जा बढ्छ,Hard Work and Perseverance
259,अल्छीलाई बल्छी मर्दलाई जाल,काम गर्न जाँगर चाहिन्छ ।,अल्छी मानिसले माछा मार्न बल्छी प्रयोग गर्छ,मर्द मानिसले जाल फ्याँक्छ,अल्छी र मर्द मानिसहरू माछा मार्न जान्छन्,Hard Work and Perseverance
260,अल्छीलाई आँगन नै परदेश,केही गर्न नसक्ने,आँगन परदेश भए पनि अल्छीले सजिलै काम गर्छ,परदेश जान अल्छीलाई मन पर्छ,अल्छीले परदेशमा मात्र काम गर्न सक्छ,Hard Work and Perseverance
264,अल्छीका जति जैसीले जान्दैन,अल्छीले अनेक बहना गर्छ,अल्छी मान्छेले सबै कुरा जान्दछ,"अल्छी मान्छेले जति काम गर्छ, अरूले गर्न सक्दैन",अल्छी मान्छेले सधैं सही निर्णय लिन्छ,Hard Work and Perseverance
267,असल कामको असलै दाम,राम्रो काम गरे राम्रै फल पाइन्छ,असल काम गरे पनि दाम पाइँदैन,असल कामको कुनै मूल्य हुँदैन,राम्रो काम गर्दा घाटा हुन्छ,Hard Work and Perseverance
272,"असारमा डुल्ने, दर्जा पाउने बेलामा भुल्ने",समयको वास्ता खर्च बढी गर्ने ।,असारमा डुल्नाले दर्जा पाउन मद्दत गर्छ,असारमा काम नगरे पनि दर्जा सजिलै पाइन्छ,असारमा डुल्नेले सधैं उच्च दर्जा पाउँछ,Hard Work and Perseverance
284,"आँप खाने पो काम छ, रुख गन्ने काम छैन","मतलबको काम गर्नुपर्छ, बेमतलबको काम गर्नु हुन्न ।",रुख गन्ने काम महत्त्वपूर्ण छ,आँप खानु बेकार छ,काम नगरी पनि फल खान पाइन्छ,Hard Work and Perseverance
308,आफैँ त महादेव उत्तानो पर कसले देला वर,जसले काम दिन्छ उसैलाई फुर्सद छैन ।,महादेवले वर माग्दै छन्,महादेवले अरूलाई वर दिन्छन्,महादेवले कसैलाई वर दिन चाहँदैनन्,Hard Work and Perseverance
328,"आन्द्रा लागे छुत्ती खेल्न, तिघ्रा लाग्यो काम्न, सक्तिनँ महाराज पत्थर कला थाम्न",नखाईकन केही गर्न सकिँदैन ।,आन्द्रा लागे छुत्ती खेल्न भनेको पेट दुख्दा रमाइलो गर्न पाइन्छ,तिघ्रा लाग्यो काम्न भनेको खुट्टा दुख्दा नाच्न पाइन्छ,सक्तिनँ महाराज पत्थर कला थाम्न भनेको ढुंगा समात्न गाह्रो छैन,Hard Work and Perseverance
335,आमाको दूध खाएर भएन बाबुको घुँडा चुस्नु,गलत ढङ्गले आर्जन गर्न खोज्नु ।,आमाको दूध खाएर मानिस बलियो हुँदैन,बाबुको घुँडा चुस्नुपर्छ भनेको सम्मान गर्नु हो,यो उखानले आमाबाबुको सम्मान नगर्नु भन्न खोजेको हो,Hard Work and Perseverance
347,"आफ्नो जाँगर चल्दैन, मझेरीमा फल्दैन",जाँगर नचलाए त्यसै काम बन्दैन ।,मझेरीमा फल नहुने कारण जाँगर नचल्नु हो,मझेरीमा फलहरू बोटबिरुवाबाट झर्छन्,मझेरीमा फल फलाउन जाँगर चलाउनु पर्छ,Hard Work and Perseverance
356,"आयो घोडा लम्केर, के हुन्छ र गम्केर",प्रस्ट कुरा नगर्नु,घोडा चाँडो आयो भने डराउनु पर्छ,घोडा आयो भने गम्केर मात्र हुन्छ,घोडा आयो भने केही गर्नु पर्दैन,Hard Work and Perseverance
391,आफू गए पूरा काम अरू गए आधा काम,अरूको भर नपर्नू ।,आफूले काम गर्दा अरूको काम बिग्रिन्छ,अरूले काम गर्दा कहिल्यै पूरा हुँदैन,आफूले नगरे अरूले केही गर्न सक्दैनन्,Hard Work and Perseverance
400,आँटिलो छोरालाई छेक न थुन,आँट गर्नेलाई दैवले सहायता गर्छ ।,आँटिलो छोरालाई थुन्न सकिन्छ,आँटिलो छोराले कहिल्यै गल्ती गर्दैन,आँटिलो छोरालाई सधैं रोक्नुपर्छ,Hard Work and Perseverance
425,आजको कामलाई भोलि कहिल्यै नभन्नु,भाका राख्दा बिग्रन्छ ।,काम कहिल्यै नगर्नु,सबै काम अन्तिम समयमा मात्रै गर्नु,आजको काम अरूलाई सुम्पिनु,Hard Work and Perseverance
433,आपत्मा हिम्मतले काम लिनुपर्छ,न आत्तिई काम गर्नु,आपत्मा डराएर भाग्नुपर्छ,आपत्मा अरूलाई दोष दिनुपर्छ,आपत्मा केही गर्नै पर्दैन,Hard Work and Perseverance
461,आफ्नो शिरको घैला आफैँले उतार्नुपर्छ,आफ्नो बोझ आफैँले हेर्नु,अरूले तपाईंको घैला उतारिदिन्छन्,शिरमा घैला राख्नै पर्दैन,घैला उतार्न अरूको सहयोग लिनुपर्छ,Hard Work and Perseverance
474,आले टाले दिनै गाले,अलमलिएर काम ठग्नु ।,आले टाले गर्दा दिन गुम्छ,सधैं काम गरिरहनु पर्दैन,काम नगरी दिन बित्छ,Hard Work and Perseverance
499,"इलमीको भागमा माछा र मासु, अल्छीको आँखामा आँसु",पौरखीले सुख पाउँछ अल्छीले दुःख |,इलमीले सधैं माछा र मासु खान्छ,अल्छीले सधैं रोइरहन्छ,इलमी र अल्छी एउटै हुन्,Hard Work and Perseverance
529,उद्देश्य के लिनु उडी छुनु चन्द्र एक,उद्देश्य ठूलो लिनुपर्छ ।,उडेर चन्द्रमामा पुग्न सकिन्छ,चन्द्रमालाई छुनु सजिलो छ,उद्देश्य लिनु भनेको चन्द्रमा उडेर पुग्नु हो,Hard Work and Perseverance
530,उद्योगी कमिलो पहाड पल्लोपट्टि पुगी बिहे गर्छ,पुरुषार्थी बन भनेको,कमिला पहाड चढ्न सक्छ,कमिला पहाड पल्लोपट्टि बिहे गर्न जान्छ,कमिलाले बिहे गर्दा पहाड चढ्नुपर्छ,Hard Work and Perseverance
531,"उद्योगीको भागमा माछा र मासु, अल्छीको आँखामा आँसु",अल्छीले नै दुःख पाउँछ ।,उद्योगीले माछा र मासु मात्र खान पाउँछ,अल्छीले सधैं रोइरहन्छ,माछा र मासु पाउन उद्योगी हुनैपर्छ,Hard Work and Perseverance
532,उद्योगीसँग भाग्य लट्ठिन्छ,भाग्यले पनि साथ दिन्छ ।,उद्योगीले भाग्यलाई नियन्त्रण गर्न सक्दैन,उद्योगीलाई भाग्यले कहिल्यै साथ दिँदैन,उद्योगीले मात्र भाग्यको भरमा काम गर्छ,Hard Work and Perseverance
582,"उठेर रोप्ने, बसेर काट्ने, गोडाले माड्ने टोपीले बाँड्ने",थोरै फापर,"उठेर रोप्नेले मात्र काम गर्छ, अरूले केही गर्दैन",टोपी लगाउनेले मात्र सबै बाँडफाँड गर्छ,गोडाले माड्नु भनेको काम बिगार्नु हो,Hard Work and Perseverance
619,एक थुकी सुकी हजार थुकी नदी,थोरै थोरैबाट नै धेरै हुन्छ ।,एक जनाले गरेको काम सधैं असफल हुन्छ,धेरैजनाले प्रयास गरे पनि नतिजा आउँदैन,सानो प्रयासले ठूलो उपलब्धि हासिल हुँदैन,Hard Work and Perseverance
641,एकहोरो रोटी पाक्दैन,कामकाज गर्दा दुईथरीलाई फाइदा हुनु ।,रोटी पकाउन एकै पटक धेरै ध्यान दिनु पर्दैन,रोटी पकाउन एक किसिमको तरिका मात्र प्रयोग गर्नुपर्छ,एक पटकमा धेरै रोटी पकाउन सकिन्छ,Hard Work and Perseverance
645,"एकदुई कदम बढायो, गोर्खालीदेखि संसार डरायो",नेपालीले यसो भनी नाम कमाए ।,गोर्खालीहरू सधैं डराउँछन्,गोर्खालीहरूले कहिल्यै कदम अघि बढाउँदैनन्,संसारले गोर्खालीहरूलाई कहिल्यै गम्भीरतापूर्वक लिँदैन,Hard Work and Perseverance
666,एक कहनु सय गर्नु,धेरै गर्नु थोरै भन्नु ।,धेरै बोल्नु तर केही नगर्नु,अरूलाई काम लगाएर आफैं नबस्नु,"कुरा मात्र गर्नु, काम नगर्नु",Hard Work and Perseverance
700,एनी हाउ काम चलाउ,दुःख टार्ने पर्यो भनेको ।,कुनै पनि हालतमा काम चलाउनुपर्छ,जसरी पनि काम गर्नुपर्छ,"कामको गुणस्तरको मतलब छैन, जसरी पनि गर",Hard Work and Perseverance
704,ऐस गर्नु पैसा बटुल्नु,रूपैयाँ जम्मा गर्ने दाउ ।,धेरै काम गर्नु,धेरै खर्च गर्नु,समय खेर फाल्नु,Hard Work and Perseverance
719,औँला टेके पो पैतला टेक्न पाइन्छ,सानो ठाउँमा बसी धेरै फाइदा हुन्छ ।,औँला टेकेपछि पैतला टेक्न सकिँदैन,औँला टेक्दा पैतला दुख्छ,पैतला टेक्न औँला टेक्नु जरूरी छैन,Hard Work and Perseverance
721,ओठ नचरी तिर्खा मेट्नु,नहुने कुरा,ओठ नचलाए पनि पानी पिउन सकिन्छ,बोल्नै नपरी समस्या समाधान हुन्छ,प्रयास नगरी पनि चाहेको प्राप्त हुन्छ,Hard Work and Perseverance
733,औंला भाँच्नु,हिसाब गर्नु ।,औंलामा चोट लाग्नु,औंला काट्नु,औंला टुट्नु,Hard Work and Perseverance
763,कर गरेर आची आउँदैन,असम्भव कुरा बल गरेर हुँदैन ।,कर तिर्दा पेट दुख्छ,कर तिर्दा शरीर कमजोर हुन्छ,धेरै कर तिरेपछि शरीरमा समस्या आउँछ,Hard Work and Perseverance
767,कुमाले आफ्नो हाँडी आफैँ सर्काउँछ,आफ्नो वस्तुको बढाइचढाइ गर्नु ।,कुमालेले अरूको हाँडी सर्काउन सक्दैन,हाँडी सधैं कुमालेले मात्र सर्काउँछ,कुमालेले हाँडी सधैं बिगार्छ,Hard Work and Perseverance
793,"काममा हीरा फोर्नु, बेकाममा नुन ढिकी नफोर्नु",बेकाममा खर्च नगर्नु मौकामा निर्धक्क भएर खर्च गर्नु ।,काममा हीरा फोर्नु भनेको काम बिगार्नु हो,बेकाममा नुन ढिकी नफोर्नु भनेको आराम गर्नु हो,यो उखानले मेहनत नगर्नु भन्ने सन्देश दिन्छ,Hard Work and Perseverance
806,काम देऊ कुरा नदेऊ,बोल्ने होइन गरेर देखाउनुपर्छ,"काम मात्र देऊ, तलब नदेऊ","काम गर, तर कुरा गर्न नपाऊ","अरूलाई काम देऊ, आफूले केही नगरे पनि हुन्छ",Hard Work and Perseverance
808,काम पनि नाईं माम पनि नाईं,कर्म नगर्नेले फल पनि पाउँदैन,काम नगर्ने तर पैसा चाहिने,काम गर्न मन नलाग्ने तर गुनासो गर्ने,न काम गर्ने न त जिम्मेवारी लिने,Hard Work and Perseverance
836,कर्तव्य यदि गर्नु छ भने तनमनले नै गर,ध्यान दिएर काम गर्नुपर्छ,कर्तव्य गर्दा तनमनको सट्टा अरूले गरिदिनुपर्छ,कर्तव्य गर्दा आधा मनले गरे पनि पुग्छ,कर्तव्य गर्नुपर्दा ध्यान दिनु आवश्यक छैन,Hard Work and Perseverance
837,कर्म र कर्तृ मिल्नुपर्छ,याङ र ठ्याङ मिल्ने,कर्म गर्नै पर्दैन,कर्ताले कर्म गर्न नपर्ने हो,कर्म र कर्ताले कहिल्यै सँगै हुनुपर्दैन,Hard Work and Perseverance
888,चुठ्नुभन्दा पुछ्नु बल,मुख्य काममा भन्दा सहयोगी काममा बढी मिहिनेत पर्नु ।,चोरी गर्नुभन्दा सफा गर्नु राम्रो,झगडा गर्नुभन्दा माफी माग्नु राम्रो,काम गर्नुभन्दा अरूलाई दोष दिनु राम्रो,Hard Work and Perseverance
944,जति गर्यो बराजु गेडा बाहिरै,कार्यसिद्ध नहुनु ।,बराजुले धेरै काम गर्दा पनि फल पाइएन,मेहनत गर्दा पनि नतिजा राम्रो आएन,जति प्रयास गरे पनि बाहिरी देखावटी मात्र भयो,Hard Work and Perseverance
966,जसले बोक्छ डोको उसलाई खान के धोको,जसले श्रम गर्छ उसलाई खानको दुःख हुँदैन ।,डोको बोकेकोले खान चाहँदैन,डोको बोकेको मानिसलाई खान मन लाग्दैन,डोको बोक्नेलाई खानको आवश्यकता हुँदैन,Hard Work and Perseverance
974,"जसलाई तिर्खा लाग्छ, उही खोला धाउँछ",जसलाई काम पर्छ उही धाउनु पर्छ ।,"जसलाई तिर्खा लाग्छ, उही खोला बन्द गर्छ","जसलाई तिर्खा लाग्छ, उही घरमा बस्छ","जसलाई तिर्खा लाग्छ, उही समुद्रमा जान्छ",Hard Work and Perseverance
978,जसले मह काढ्छ उसैले हात चाट्छ,काम गर्ने मान्छेले सुख पनि पाउँछ ।,जसले मह काढ्छ उसले हात धोएर खानुपर्छ,जसले मह काढ्छ उसले अरूलाई हात चाट्न दिनुपर्छ,जसले मह काढ्छ उसले हातमा मह लाग्न दिनु हुँदैन,Hard Work and Perseverance
999,जसजसले सक्ला उसउसले खाला,"मनपरी गर्नु, लापरबाही काम गर्नु ।","जसले सक्दैन, उसले पनि खाला","जसले सक्ला, उसले नखाला","जसले सक्ला, उसले अरुलाई खुवाउँला",Hard Work and Perseverance
1027,जहाँ आली उहीँ बाली,खेतमा राम्रो गर्नु भनेको ।,अल्छी मानिसले पनि राम्रो फल पाउँछ,मेहनत नगरी पनि सफलता मिल्छ,जहाँ गए पनि सजिलै सफलता हात लाग्छ,Hard Work and Perseverance
1051,जहाँ गाह्रो त्यहीँ साह्रो,अप्ठ्यारो पर्नु ।,"जहाँ सजिलो हुन्छ, त्यहाँ साह्रो हुँदैन","जहाँ गाह्रो हुन्छ, त्यहाँ कुनै चुनौती हुँदैन","जहाँ गाह्रो हुन्छ, त्यहाँ सजिलै समाधान पाइन्छ",Hard Work and Perseverance
